pair_id,component,composite,source_role,source_task,target_task,n_rows,n_seeds,mean_gradient_cosine,median_gradient_cosine,mean_linear_cka,median_linear_cka,mean_source_gradient_norm,mean_target_gradient_norm
0,A07_reverse,C03_reverse_then_substitute_07_02,different_operation_control,U01_unrelated_substitute,C03_reverse_then_substitute_07_02,15,5,0.26078879578615743,0.1485016739128644,0.7525227745374043,0.8109145164489746,0.765346372127533,0.6187930365403493
0,A07_reverse,C03_reverse_then_substitute_07_02,exact_component,A07_reverse,C03_reverse_then_substitute_07_02,15,5,0.22966201179112794,0.1488256475335271,0.7471975684165955,0.8100976943969727,0.6168263534704844,0.6187930365403493
0,A07_reverse,C03_reverse_then_substitute_07_02,fake_component_control,K02_shortcut_for_A03_copy,C03_reverse_then_substitute_07_02,15,5,0.08864624077712188,0.0936665871972264,0.7487492720286052,0.8124200105667114,0.6682152271270752,0.6187930365403493
0,A07_reverse,C03_reverse_then_substitute_07_02,same_operation_control,A01_reverse,C03_reverse_then_substitute_07_02,15,5,0.250271260892483,0.1865038642914347,0.7509316643079121,0.8105707764625549,0.6080207665761311,0.6187930365403493
0,A07_reverse,C03_reverse_then_substitute_07_02,surface_control,S00_surface_rotate,C03_reverse_then_substitute_07_02,15,5,0.23802028349623983,0.1612674650002995,0.7441019932428996,0.8125865459442139,0.591913761695226,0.6187930365403493
1,A02_substitute,C03_reverse_then_substitute_07_02,different_operation_control,A03_copy,C03_reverse_then_substitute_07_02,15,5,0.12029183476186849,0.0953605048471257,0.7488528609275817,0.8104107975959778,0.6722935318946839,0.6187930365403493
1,A02_substitute,C03_reverse_then_substitute_07_02,exact_component,A02_substitute,C03_reverse_then_substitute_07_02,15,5,0.4594745165814719,0.5314830304421881,0.7516045610109965,0.8146960139274597,0.7411934435367584,0.6187930365403493
1,A02_substitute,C03_reverse_then_substitute_07_02,fake_component_control,K01_shortcut_for_A05_substitute,C03_reverse_then_substitute_07_02,15,5,0.12132995887812606,0.1007474886876049,0.7488466580708821,0.8132363557815552,0.6768461287021637,0.6187930365403493
1,A02_substitute,C03_reverse_then_substitute_07_02,same_operation_control,U00_unrelated_substitute,C03_reverse_then_substitute_07_02,15,5,0.21100369111498057,0.1149053020270083,0.753864602247874,0.8158302307128906,0.7658050874869029,0.6187930365403493
1,A02_substitute,C03_reverse_then_substitute_07_02,surface_control,S01_surface_rotate,C03_reverse_then_substitute_07_02,15,5,0.21528226900005076,0.1588205025438754,0.7493874589602153,0.8132784962654114,0.5851364771525065,0.6187930365403493
2,A05_substitute,C06_reverse_then_substitute_05_07,different_operation_control,A04_reverse,C06_reverse_then_substitute_05_07,15,5,0.2175408339382553,0.1600894071646477,0.7506377220153808,0.8119140863418579,0.6135008951028188,0.64929705063502
2,A05_substitute,C06_reverse_then_substitute_05_07,exact_component,A05_substitute,C06_reverse_then_substitute_05_07,15,5,0.45778753587611504,0.5333381495676452,0.7533331910769144,0.8173330426216125,0.7312329153219859,0.64929705063502
2,A05_substitute,C06_reverse_then_substitute_05_07,fake_component_control,K00_shortcut_for_A02_substitute,C06_reverse_then_substitute_05_07,15,5,0.0854521301535646,0.0594396654692008,0.7490687171618143,0.8094684481620789,0.6731049199899037,0.64929705063502
2,A05_substitute,C06_reverse_then_substitute_05_07,same_operation_control,U01_unrelated_substitute,C06_reverse_then_substitute_05_07,15,5,0.23036411339150428,0.1207608083545184,0.7527628978093465,0.8145941495895386,0.765346372127533,0.64929705063502
2,A05_substitute,C06_reverse_then_substitute_05_07,surface_control,S02_surface_rotate,C06_reverse_then_substitute_05_07,15,5,0.275122319267253,0.2297233035913536,0.7460810204346975,0.8114277124404907,0.5899479667345683,0.64929705063502
3,A07_reverse,C06_reverse_then_substitute_05_07,different_operation_control,U01_unrelated_substitute,C06_reverse_then_substitute_05_07,15,5,0.23036411339150428,0.1207608083545184,0.7527628978093465,0.8145941495895386,0.765346372127533,0.64929705063502
3,A07_reverse,C06_reverse_then_substitute_05_07,exact_component,A07_reverse,C06_reverse_then_substitute_05_07,15,5,0.19813874277137197,0.095032000663163,0.7465240359306335,0.8103244304656982,0.6168263534704844,0.64929705063502
3,A07_reverse,C06_reverse_then_substitute_05_07,fake_component_control,K02_shortcut_for_A03_copy,C06_reverse_then_substitute_05_07,15,5,0.11904375908178448,0.1907528898323594,0.7472595771153768,0.8113746643066406,0.6682152271270752,0.64929705063502
3,A07_reverse,C06_reverse_then_substitute_05_07,same_operation_control,A01_reverse,C06_reverse_then_substitute_05_07,15,5,0.23818275657716678,0.2260908669815868,0.7490228096644084,0.8100714087486267,0.6080207665761311,0.64929705063502
3,A07_reverse,C06_reverse_then_substitute_05_07,surface_control,S00_surface_rotate,C06_reverse_then_substitute_05_07,15,5,0.24969427283835674,0.2180069277072825,0.7428493698438009,0.8140438795089722,0.591913761695226,0.64929705063502
