source_run_dir,source_model_name,model_name,slice_id,family,prompt_family,operation_type,composition_depth,component_ids,n_metrics,n_underperforming_metrics,n_outperforming_metrics,n_zero_metrics,underperforming_metric_rate,outperforming_metric_rate,mean_residual,median_residual,mean_residual_z,median_residual_z,max_abs_residual_z,verdict,underperforming_metrics,outperforming_metrics
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_add_then_compare,arithmetic,arithmetic,add_then_compare,2,arith_add_small;arith_compare,5,3,2,0,0.6,0.4,0.4073435864411261,-0.1067795769294789,-0.7866052853995581,-1.0716956313374275,1.6242706693184286,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_sub_then_compare,arithmetic,arithmetic,sub_then_compare,2,arith_sub_small;arith_compare,5,3,2,0,0.6,0.4,0.4810156946791025,-0.0705960304737565,-0.2898729063550339,-0.7077374581876534,0.8013262435318023,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_add_then_even,arithmetic,arithmetic,add_then_parity,2,arith_add_small;arith_even,5,3,2,0,0.6,0.4,0.4868789552205026,-0.0724841076839162,-0.2175388609909187,-0.4168217324611028,1.2586079456935215,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_reverse_then_last,string,string,reverse_then_last,2,word_reverse2;word_last,5,3,2,0,0.6,0.4,0.3523036795898252,-0.0538136384383535,-0.5719603614467221,-0.4056897150893889,1.6108066083444263,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_first_then_same,string,string,first_then_same,2,word_first;word_same,5,3,2,0,0.6,0.4,0.4857669966115184,-0.0587471848940759,-0.1863618372006111,-0.2850826803362022,0.6725560107994655,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_reverse_then_same,string,string,reverse_then_same,2,word_reverse2;word_same,5,3,2,0,0.6,0.4,0.6588441532745282,-0.0176300919826312,0.4165340424437243,0.2775412057105765,1.6253285739711216,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_max_then_compare,arithmetic,arithmetic,max_then_compare,2,arith_max2;arith_compare,5,3,2,0,0.6,0.4,0.5490850374006795,-0.0050505612281938,0.3730434811541077,0.515072493338866,0.9753651729528496,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_retrieve_then_color,retrieval,retrieval,retrieve_then_color,2,retrieval_object;semantic_color_lookup,5,2,3,0,0.4,0.6,0.5802222562743042,0.0590451776491383,0.077532976095879,-0.0962475713588765,2.1655219643706576,consistent_outperforming_observational,accuracy;mean_correct_mrr,mean_correct_margin;mean_logprob_correct;mean_logprob_margin
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_reverse_then_first,string,string,reverse_then_first,2,word_reverse2;word_first,5,2,3,0,0.4,0.6,0.3785519230409436,0.0086863615616464,-0.2450622393824839,0.1295540466027334,1.6115918499878843,consistent_outperforming_observational,mean_correct_mrr;mean_logprob_margin,accuracy;mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,comp_retrieve_then_compare,retrieval,retrieval,retrieve_then_compare,2,retrieval_number;arith_compare,5,2,3,0,0.4,0.6,0.7131642365080866,0.0924755931921256,1.4302909910816175,1.4040672095420297,2.4482161695907902,consistent_outperforming_observational,mean_correct_mrr;mean_logprob_margin,accuracy;mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v30/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,comp_add_then_compare,arithmetic,arithmetic,add_then_compare,2,arith_add_small;arith_compare,5,4,1,0,0.8,0.2,-0.1922554255994894,-0.2442877200951301,-0.8273206095698817,-1.34358268195034,1.660317529455511,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct,mean_logprob_margin
results/pythia_model_sweep_v30/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,comp_reverse_then_last,string,string,reverse_then_last,2,word_reverse2;word_last,5,4,1,0,0.8,0.2,-0.1679229239487293,-0.1072303208327731,-0.489479403728814,-0.6934680915094826,1.5436954870547774,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_correct;mean_logprob_margin,mean_correct_margin
results/pythia_model_sweep_v30/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,comp_add_then_even,arithmetic,arithmetic,add_then_parity,2,arith_add_small;arith_even,5,4,1,0,0.8,0.2,-0.1113132721476943,-0.1639044117305648,-0.4008626833722116,-0.576754821263884,1.3171457484398368,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct,mean_logprob_margin
results/pythia_model_sweep_v30/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,comp_first_then_same,string,string,first_then_same,2,word_first;word_same,5,4,1,0,0.8,0.2,-0.1177939185619068,-0.098973159453779,-0.3642448524342052,-0.5578377973750095,0.8476738786072513,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct,mean_logprob_margin
results/pythia_model_sweep_v30/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,comp_reverse_then_first,string,string,reverse_then_first,2,word_reverse2;word_first,5,4,1,0,0.8,0.2,-0.0680735287431521,-0.0132258651290328,0.2901793292930307,0.7395551798007051,1.2752462613757436,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_correct;mean_logprob_margin,mean_correct_margin
results/pythia_model_sweep_v30/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,comp_sub_then_compare,arithmetic,arithmetic,sub_then_compare,2,arith_sub_small;arith_compare,5,3,2,0,0.6,0.4,-0.1348978433476557,-0.1092185975404592,-0.4505617821961306,-0.5810712359007144,1.0081317635075997,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr,mean_logprob_correct;mean_logprob_margin
results/pythia_model_sweep_v30/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,comp_retrieve_then_color,retrieval,retrieval,retrieve_then_color,2,retrieval_object;semantic_color_lookup,5,3,2,0,0.6,0.4,0.0907030680187871,-0.0623435975404591,0.3937253065121709,0.1523700870002431,0.9466856089758796,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr,mean_logprob_correct;mean_logprob_margin
results/pythia_model_sweep_v30/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,comp_reverse_then_same,string,string,reverse_then_same,2,word_reverse2;word_same,5,3,2,0,0.6,0.4,0.0164512189122464,-0.0444648249554182,0.3236988319648625,0.5649061109590897,1.864681188679644,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v30/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,comp_max_then_compare,arithmetic,arithmetic,max_then_compare,2,arith_max2;arith_compare,5,3,2,0,0.6,0.4,0.0585381704531985,-0.0299667112479387,0.6477316266261636,0.8825033212116411,1.6631488856583552,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr,mean_logprob_correct;mean_logprob_margin
results/pythia_model_sweep_v30/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,comp_retrieve_then_compare,retrieval,retrieval,retrieve_then_compare,2,retrieval_number;arith_compare,5,3,2,0,0.6,0.4,0.0541231746341706,-0.0009484034857504,0.8771342369050155,1.0159605110610603,1.900072222347851,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,comp_add_then_even,arithmetic,arithmetic,add_then_parity,2,arith_add_small;arith_even,5,5,0,0,1.0,0.0,-0.2416059197772647,-0.1879243572497616,-1.122182062605808,-1.3171457484398368,1.9089160105771164,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct;mean_logprob_margin,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,comp_sub_then_compare,arithmetic,arithmetic,sub_then_compare,2,arith_sub_small;arith_compare,5,5,0,0,1.0,0.0,-0.1495942327490386,-0.1092185975404592,-0.7288923347656863,-0.9767586668024896,1.5386270304345235,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct;mean_logprob_margin,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,comp_add_then_compare,arithmetic,arithmetic,add_then_compare,2,arith_add_small;arith_compare,5,4,1,0,0.8,0.2,-0.1092983303920781,-0.1248546377140737,-0.5931666354986324,-0.9580830247540902,1.404980593315483,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_margin,mean_logprob_correct
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,comp_max_then_compare,arithmetic,arithmetic,max_then_compare,2,arith_max2;arith_compare,5,4,1,0,0.8,0.2,-0.0425729197952833,-0.0299667112479387,0.4002451910408571,0.7289693766438373,1.6477547464814786,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_correct;mean_logprob_margin,mean_correct_margin
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,comp_first_then_same,string,string,first_then_same,2,word_first;word_same,5,3,2,0,0.6,0.4,-0.1213037370857869,-0.0913619053026474,-0.2062726259425056,-0.3868291028510631,0.6329349690385568,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,comp_retrieve_then_color,retrieval,retrieval,retrieve_then_color,2,retrieval_object;semantic_color_lookup,5,3,2,0,0.6,0.4,-0.0184774671977695,-0.0623435975404591,0.3294891102980709,0.1229363658996877,1.5720446512574482,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,comp_reverse_then_last,string,string,reverse_then_last,2,word_reverse2;word_last,5,3,2,0,0.6,0.4,-0.1040419836960093,-0.0757258651290329,0.1127609102525392,0.4839263951563806,1.069157184730562,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,comp_reverse_then_same,string,string,reverse_then_same,2,word_reverse2;word_same,5,3,2,0,0.6,0.4,-0.138481376422091,-0.0444648249554182,0.2303815993095536,0.5423752438214221,1.350334136203706,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,comp_reverse_then_first,string,string,reverse_then_first,2,word_reverse2;word_first,5,3,2,0,0.6,0.4,-0.0534468505652602,-0.0132258651290328,0.6102611791187906,0.6092496800947612,1.2752462613757436,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,comp_retrieve_then_compare,retrieval,retrieval,retrieve_then_compare,2,retrieval_number;arith_compare,5,3,2,0,0.6,0.4,0.0750560052978647,-0.0009484034857504,0.96737566879282,0.8479147830870856,1.5632774844863384,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,comp_add_then_even,arithmetic,arithmetic,add_then_parity,2,arith_add_small;arith_even,5,4,1,0,0.8,0.2,-0.1923279021944293,-0.2949100888998672,-1.0481406981344934,-1.3351793939976186,1.5112016349136763,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct,mean_logprob_margin
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,comp_reverse_then_same,string,string,reverse_then_same,2,word_reverse2;word_same,5,4,1,0,0.8,0.2,-0.0396785591376372,-0.1172627474991094,0.2816728062950958,0.4787764850149578,1.2149335022445382,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct,mean_logprob_margin
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,comp_add_then_compare,arithmetic,arithmetic,add_then_compare,2,arith_add_small;arith_compare,5,3,2,0,0.6,0.4,-0.1464857919198281,-0.306119060958433,-0.6449098808704116,-1.3843909513217951,1.5126772091353426,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr,mean_logprob_correct;mean_logprob_margin
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,comp_retrieve_then_color,retrieval,retrieval,retrieve_then_color,2,retrieval_object;semantic_color_lookup,5,3,2,0,0.6,0.4,-0.1773056975171154,-0.2454001490174405,-0.6789385512885971,-0.6474213105848473,1.4532079793141432,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr,mean_logprob_correct;mean_logprob_margin
